query_id,difficulty,city,latitude,longitude,min_rating,radius_km,num_days,start_date,user_message,hard_constraints
58,medium,Rio de Janeiro,-22.9068,-43.1729,4.3,7,4,2024-10-10,"I want a 4-day Rio trip to enjoy beaches and cultural sites with Brazilian barbecue, but avoiding busy beach areas during weekends.","attraction_type:beach-cultural-cuisine_type:brazilian_barbecue-avoid:busy_beach_area-time_avoidance:weekend"
59,medium,Buenos Aires,-34.6118,-58.3960,4.4,6,3,2024-11-18,"I'm looking for a 3-day Buenos Aires trip to visit cultural sites and steakhouses with wine tasting, preferring evening entertainment, but avoiding tourist restaurants.","attraction_type:cultural-cuisine_type:steakhouse-activity_type:wine_tasting-time_preference:evening-avoid:tourist_restaurant"
60,medium,Mexico City,19.4326,-99.1332,4.3,7,4,2024-12-15,"I want a 4-day Mexico City trip to visit museums and authentic Mexican food with spicy options, preferring authentic meals, but avoiding commercial areas.","attraction_type:museum-cuisine_type:authentic_mexican-cuisine_preference:spicy-avoid:commercial_area-meal_preference:authentic"
61,medium,Toronto,43.6532,-79.3832,4.4,6,3,2024-01-20,"I'm planning a 3-day Toronto winter trip to see attractions and Canadian restaurants with heated indoor venues due to cold weather, but avoiding chain restaurants.","season:winter-cuisine_type:canadian-venue_requirement:heated_indoor-avoid:chain_restaurant-weather_consideration:cold"
62,medium,Melbourne,-37.8136,144.9631,4.5,7,4,2024-02-25,"I want a 4-day Melbourne trip focused on coffee culture and art galleries with brunch places, focusing on coffee experiences, but avoiding tourist coffee shops.","attraction_type:coffee_culture-art_gallery-meal_type:brunch-avoid:tourist_coffee_shop-cuisine_focus:coffee"
63,medium,Hong Kong,22.3193,114.1694,4.3,5,3,2024-03-30,"I'm looking for a 3-day Hong Kong trip to see skyline views and dim sum restaurants with harbor views for lunch, but avoiding shopping centers.","attraction_type:skyline-cuisine_type:dim_sum-view_requirement:harbor-avoid:shopping_center-meal_type:lunch"
64,medium,Seoul,37.5665,126.9780,4.4,6,4,2024-04-05,"I want a 4-day Seoul trip to visit palaces and Korean BBQ with local markets for dinner, but avoiding mainstream tourist spots.","attraction_type:palace-cuisine_type:korean_bbq-venue_type:local_market-avoid:mainstream_tourist_spot-meal_type:dinner"
65,medium,Tel Aviv,32.0853,34.7818,4.5,4,3,2024-05-20,"I'm planning a 3-day Tel Aviv trip to enjoy beaches and Mediterranean restaurants with local markets for lunch, but avoiding commercial beaches.","attraction_type:beach-cuisine_type:mediterranean-venue_type:local_market-avoid:commercial_beach-meal_type:lunch"
66,medium,Lisbon,38.7223,-9.1393,4.3,5,4,2024-06-25,"I want a 4-day Lisbon trip to see historic sites and Portuguese seafood with sunset views, preferring evening times, but avoiding tourist trams.","attraction_type:historic-cuisine_type:portuguese_seafood-view_requirement:sunset-avoid:tourist_tram-time_preference:evening"
67,medium,Stockholm,59.3293,18.0686,4.4,6,3,2024-07-30,"I'm looking for a 3-day Stockholm city tour with Nordic restaurants and waterfront views for dinner, but avoiding crowded ferries.","attraction_type:city_tour-cuisine_type:nordic-view_requirement:waterfront-avoid:crowded_ferry-meal_type:dinner"
68,medium,Copenhagen,55.6761,12.5683,4.5,4,4,2024-08-05,"I want a 4-day Copenhagen trip to visit parks and sustainable restaurants with bicycle routes for cycling activities, but avoiding tourist bicycle tours.","attraction_type:park-restaurant_type:sustainable-transport:bicycle-avoid:tourist_bicycle_tour-activity_type:cycling"
69,medium,Zurich,47.3769,8.5417,4.3,5,3,2024-09-10,"I'm planning a 3-day Zurich trip to see lakes and Swiss restaurants with mountain views for lunch, but avoiding tourist shops.","attraction_type:lake-cuisine_type:swiss-view_requirement:mountain-avoid:tourist_shop-meal_type:lunch"
70,medium,Helsinki,60.1699,24.9384,4.4,5,4,2024-10-15,"I want a 4-day Helsinki trip to explore the waterfront and Finnish restaurants with local markets for dinner, but avoiding public tours.","attraction_type:waterfront-cuisine_type:finnish-venue_type:local_market-avoid:public_tour-meal_type:dinner"
71,hard,Tokyo,35.6762,139.6503,4.5,5,5,2024-03-15,"I'm planning a 5-day Tokyo trip for wheelchair users as I need accessibility, with vegetarian sushi restaurants since I'm vegetarian, including early morning temple visits and cherry blossom viewing during spring season, but avoiding crowds.","accessibility:wheelchair-cuisine_type:vegetarian_sushi-dietary_restriction:vegetarian-time_preference:early_morning-avoid:crowds-activity_type:cherry_blossom_viewing-season:spring"
72,hard,Paris,48.8566,2.3522,4.6,4,6,2024-04-20,"I want a 6-day Paris art tour with upscale vegan restaurants as I follow a vegan diet, including private museum tours, wine tasting, and photography spots, but avoiding tourist areas.","dining_style:upscale-cuisine_type:vegan-dietary_restriction:vegan-tour_type:private_museum-avoid:tourist_area-activity_type:wine_tasting-photography_spot"
73,hard,New York,40.7128,-74.0060,4.4,8,4,2024-05-10,"I'm looking for a 4-day NYC sustainable tourism experience with eco-friendly restaurants focusing on environmental impact, using only public transport and visiting local community venues with small group sizes, but avoiding chain stores.","tourism_type:sustainable-restaurant_type:eco_friendly-transport:public_only-venue_type:local_community-avoid:chain_store-environmental_focus:eco-group_size:small"
74,hard,London,51.5074,-0.1278,4.7,6,5,2024-06-05,"I want a 5-day London literary tour with afternoon tea places, bookshops, and historic houses focused on literature culture, including riverside walks, but avoiding modern buildings.","theme:literary-meal_type:afternoon_tea-venue_type:bookshop-attraction_type:historic_house-avoid:modern_building-activity_type:riverside_walk-cultural_focus:literature"
75,hard,Rome,41.9028,12.4964,4.5,5,4,2024-07-12,"I'm planning a 4-day Rome underground tour with kosher Italian restaurants due to my kosher dietary restrictions, including traditional cooking classes with culinary focus, but avoiding midday times due to hot weather.","attraction_type:underground-cuisine_type:kosher_italian-dietary_restriction:kosher-time_avoidance:midday_heat-activity_type:cooking_class-weather_consideration:hot-cultural_focus:culinary"
76,hard,Barcelona,41.3851,2.1734,4.6,6,5,2024-08-18,"I want a 5-day Barcelona architecture tour with detailed focus and modern cuisine, including sunrise photography and art workshops with early morning preferences and art cultural focus, but avoiding beach crowds.","architecture_focus:detailed-cuisine_type:modern-avoid:beach_crowd-activity_type:sunrise_photography-art_workshop-time_preference:early_morning-cultural_focus:art"
77,hard,Sydney,-33.8688,151.2093,4.7,8,4,2024-09-22,"I'm looking for a 4-day Sydney local culture tour with native cuisine, sunset harbor cruises, and wildlife experiences with small group sizes, preferring evening activities, but avoiding commercial tours.","culture_focus:local-cuisine_type:native-activity_type:sunset_harbor_cruise-avoid:commercial_tour-experience_type:wildlife-time_preference:evening-group_size:small"
78,hard,Amsterdam,52.3676,4.9041,4.5,5,6,2024-10-08,"I want a 6-day Amsterdam canal house tour with Indonesian restaurants for authentic meals, using bicycle transport, including cheese tasting with local cultural focus, but avoiding tourist boats.","theme:canal_house-cuisine_type:indonesian-avoid:tourist_boat-transport:bicycle-activity_type:cheese_tasting-cultural_focus:local-meal_preference:authentic"
79,hard,Berlin,52.5200,13.4050,4.6,7,5,2024-11-14,"I'm planning a 5-day Berlin Cold War history tour with East German cuisine, underground tours, and traditional music venues focused on Cold War historical period and historical culture, but avoiding mainstream sites.","theme:cold_war-cuisine_type:east_german-avoid:mainstream_site-attraction_type:underground-venue_type:traditional_music-historical_period:cold_war-cultural_focus:historical"
80,hard,Prague,50.0755,14.4378,4.7,4,4,2024-12-01,"I want a 4-day Prague traditional arts tour with medieval restaurants for historical meals, including glass workshops and classical music concerts with traditional cultural focus, but avoiding castle crowds.","theme:traditional_art-cuisine_type:medieval-avoid:castle_crowd-activity_type:glass_workshop-classical_music_concert-cultural_focus:traditional-meal_preference:historical"
81,hard,Vienna,48.2082,16.3738,4.5,6,5,2024-03-25,"I'm looking for a 5-day Vienna classical music tour with traditional Austrian cuisine for traditional meals, including waltz lessons and opera experiences with classical cultural focus, but avoiding modern venues.","theme:classical_music-cuisine_type:traditional_austrian-avoid:modern_venue-activity_type:waltz_lesson-opera_experience-cultural_focus:classical-meal_preference:traditional"
82,hard,Dubai,25.2048,55.2708,4.8,12,4,2024-04-30,"I want a 4-day Dubai desert experience with Emirati cuisine, camel tours, and stargazing activities for outdoor experiences with traditional cultural focus, preferring evening times, but avoiding malls.","theme:desert-cuisine_type:emirati-avoid:mall-activity_type:camel_tour-stargazing-experience_type:outdoor-cultural_focus:traditional-time_preference:evening"
83,hard,Singapore,1.3521,103.8198,4.6,6,5,2024-05-15,"I'm planning a 5-day Singapore garden city tour with Peranakan cuisine and cultural focus, including orchid tours and cooking workshops with nature environmental focus, but avoiding shopping centers.","theme:garden_city-cuisine_type:peranakan-avoid:shopping_center-activity_type:orchid_tour-cooking_workshop-cultural_focus:peranakan-environmental_focus:nature"
84,hard,Istanbul,41.0082,28.9784,4.7,8,6,2024-06-20,"I want a 6-day Istanbul Ottoman heritage tour with palace cuisine, traditional workshops, and Turkish bath experiences focused on Ottoman historical period and culture, but avoiding tourist markets.","theme:ottoman_heritage-cuisine_type:palace-avoid:tourist_market-activity_type:traditional_workshop-turkish_bath_experience-cultural_focus:ottoman-historical_period:ottoman"
85,hard,Bangkok,13.7563,100.5018,4.5,7,5,2024-07-25,"I'm looking for a 5-day Bangkok royal heritage tour with royal Thai cuisine, traditional markets, and meditation sessions with royal cultural focus and spiritual meditation focus, but avoiding busy streets.","theme:royal_heritage-cuisine_type:royal_thai-avoid:busy_street-venue_type:traditional_market-activity_type:meditation_session-cultural_focus:royal-spiritual_focus:meditation"
86,hard,Mumbai,19.0760,72.8777,4.6,9,4,2024-08-30,"I want a 4-day Mumbai film industry tour with regional Indian cuisines, studio visits, and dance workshops with Bollywood cultural focus and film entertainment focus, but avoiding street vendors.","theme:film_industry-cuisine_type:regional_indian-avoid:street_vendor-activity_type:studio_visit-dance_workshop-cultural_focus:bollywood-entertainment_focus:film"
87,hard,Cape Town,-33.9249,18.4241,4.7,10,5,2024-09-05,"I'm planning a 5-day Cape Town wine and nature tour with Cape Malay cuisine, wine workshops, and hiking experiences focusing on nature and wine with nature environmental focus, but avoiding commercial wine tours.","theme:wine_nature-cuisine_type:cape_malay-avoid:commercial_wine_tour-activity_type:wine_workshop-hiking_experience-focus:nature_wine-environmental_focus:nature"
88,hard,Rio de Janeiro,-22.9068,-43.1729,4.8,8,6,2024-10-10,"I want a 6-day Rio local community tourism experience with traditional Brazilian cuisine, music lessons, and cultural workshops with local cultural focus and small group sizes, but avoiding tourist beaches.","tourism_type:community-cuisine_type:traditional_brazilian-avoid:tourist_beach-activity_type:music_lesson-cultural_workshop-cultural_focus:local-group_size:small"
89,hard,Buenos Aires,-34.6118,-58.3960,4.6,7,5,2024-11-18,"I'm looking for a 5-day Buenos Aires tango culture tour with authentic Argentine cuisine for authentic meals, including dance lessons and local market tours with tango cultural focus, but avoiding tourist shows.","theme:tango_culture-cuisine_type:authentic_argentine-avoid:tourist_show-activity_type:dance_lesson-local_market_tour-cultural_focus:tango-meal_preference:authentic"
90,hard,Mexico City,19.4326,-99.1332,4.7,8,4,2024-12-15,"I want a 4-day Mexico City cultural heritage tour with pre-Hispanic cuisine, traditional workshops, and archaeology tours focused on pre-Hispanic historical period and culture, but avoiding commercial areas.","theme:cultural_heritage-cuisine_type:pre_hispanic-avoid:commercial_area-activity_type:traditional_workshop-archaeology_tour-cultural_focus:pre_hispanic-historical_period:pre_hispanic"
91,hard,Toronto,43.6532,-79.3832,4.5,7,5,2024-01-20,"I'm planning a 5-day Toronto winter cultural tour with Canadian comfort food, ice activities, and local craft workshops with local cultural focus during cold weather, but avoiding chain venues.","season:winter-cuisine_type:canadian_comfort_food-avoid:chain_venue-activity_type:ice_activity-local_craft_workshop-weather_consideration:cold-cultural_focus:local"
92,hard,Melbourne,-37.8136,144.9631,4.6,8,6,2024-02-25,"I want a 6-day Melbourne coffee and art tour with specialty coffee for specialty meals, coffee workshops, and gallery tours with art and coffee cultural focus, but avoiding tourist cafes.","theme:coffee_art-cuisine_focus:specialty_coffee-avoid:tourist_cafe-activity_type:coffee_workshop-gallery_tour-cultural_focus:art_coffee-meal_preference:specialty"
93,hard,Hong Kong,22.3193,114.1694,4.7,6,4,2024-03-30,"I'm looking for a 4-day Hong Kong traditional culture tour with authentic dim sum for authentic meals, tea ceremonies, and traditional market tours with traditional cultural focus, but avoiding shopping areas.","theme:traditional_culture-cuisine_type:authentic_dim_sum-avoid:shopping_area-activity_type:tea_ceremony-traditional_market_tour-cultural_focus:traditional-meal_preference:authentic"
94,hard,Seoul,37.5665,126.9780,4.8,7,5,2024-04-05,"I want a 5-day Seoul traditional Korean culture tour with temple cuisine, traditional workshops, and temple experiences with traditional cultural focus and spiritual temple focus, but avoiding modern tourist sites.","theme:traditional_korean-cuisine_type:temple_cuisine-avoid:modern_tourist_site-activity_type:traditional_workshop-temple_experience-cultural_focus:traditional-spiritual_focus:temple"
95,hard,Tel Aviv,32.0853,34.7818,4.6,5,4,2024-05-20,"I'm planning a 4-day Tel Aviv startup culture tour with modern Israeli cuisine, innovation tours, and entrepreneur meetups with tech cultural focus and startup business focus, but avoiding tourist beaches.","theme:startup_culture-cuisine_type:modern_israeli-avoid:tourist_beach-activity_type:innovation_tour-entrepreneur_meetup-cultural_focus:tech-business_focus:startup"
96,hard,Lisbon,38.7223,-9.1393,4.7,6,5,2024-06-25,"I want a 5-day Lisbon maritime heritage tour with traditional seafood for traditional meals, fishing experiences, and traditional workshops with maritime cultural focus, but avoiding tourist areas.","theme:maritime_heritage-cuisine_type:traditional_seafood-avoid:tourist_area-activity_type:fishing_experience-traditional_workshop-cultural_focus:maritime-meal_preference:traditional"
97,hard,Stockholm,59.3293,18.0686,4.8,8,6,2024-07-30,"I'm looking for a 6-day Stockholm sustainability tour with New Nordic cuisine, sustainable tours, and traditional craft workshops with sustainability focus and sustainable environmental focus, but avoiding tourist spots.","theme:sustainability-cuisine_type:new_nordic-avoid:tourist_spot-activity_type:sustainable_tour-traditional_craft_workshop-focus:sustainability-environmental_focus:sustainable"
98,hard,Copenhagen,55.6761,12.5683,4.6,7,4,2024-08-05,"I want a 4-day Copenhagen design culture tour with sustainable Nordic cuisine, design workshops, and local market tours with design cultural focus and sustainable environmental focus, but avoiding tourist areas.","theme:design_culture-cuisine_type:sustainable_nordic-avoid:tourist_area-activity_type:design_workshop-local_market_tour-cultural_focus:design-environmental_focus:sustainable"
